en-us	bg-bg	cs-cz	da-dk	de-de	el-gr	es-es	et-ee	fi-fi	fr-fr	ga	hr-hr	hu-hu	is-is	it-it	kk-kz	lt-lt	lv-lv	mk-mk	mt-mt	nl-nl	nb-no	pl-pl	pt-pt	ro-ro	ru-ru	sk-sk	sl-si	sq-al	sr-rs	sv-se	tr-tr	uk-ua	zh-cn	bs-ba
Oromucosal patch	Пластир за устна лигавица	Orální náplast	Mundhuleplaster	Pflaster zur Anwendung in der Mundhöhle	Στοματικό επίθεμα	Parche bucal	Suuõõneplaaster	Laastari suuonteloon	Patch buccal	Paiste béalmhúcósach	Naljepak za usnu sluznicu	Szájnyálkahártyán alkalmazott tapasz	Munnholsplástur	Cerotto per mucosa orale	Оромукозалдық пластырь	Burnos gleivinės pleistras	Plāksteris lietošanai mutes dobumā	 - 	Garża għall-mukuża tal-ħalq	Pleister voor oromucosaal gebruik	Munnplaster	System adhezyjny do stosowania w jamie ustnej	Adesivo bucal	Plasture bucofaringian	Пластырь оромукозный	Orálna náplasť	Oralni obliž	Fashë për mukozën e gojës	Flaster za usnu sluznicu	Munhåleplåster	Ağzı mukozası yaması	Пластир оромукозний	口腔贴剂	Flaster za usnu sluznicu
Oromucosal/laryngopharyngeal solution	Разтвор за устна лигавица/ларинкс-фаринкс	Orální/laryngofaryngeální roztok	 - 	Lösung zur Anwendung in der Mundhöhle/im Rachenraum und am Kehlkopf	Στοματικό/λαρυγγοφαρυγγικό διάλυμα	Solución bucal y laringofaríngea	Suuõõne-/kõri-neelulahus	Liuos suuonteloon/kurkunpäähän	Solution buccale/laryngopharyngée	Tuaslagán béalmhúcósach/laraingeafaraingeach	Otopina za usnu sluznicu/ždrijelo i grkljan	 - 	Lausn fyrir munnhol/barkakýli og kok	Soluzione per mucosa orale/laringofaringea	Оромукозалдық/көмей-жұтқыншаққа арналған ерітінді	Burnos gleivinės ar gerklų ir ryklės tirpalas	Šķīdums lietošanai mutes dobumā/ laringofaringeālai lietošanai	 - 	 - 	Oplossing voor oromucosaal/laryngofaryngeaal gebruik	Munnvann, oppløsning/laryngofaryngeal oppløsning	Roztwór do stosowania w jamie ustnej / dokrtaniowo	Solução bucal ou laringofaríngea	Soluţie bucofaringiană/laringofaringiană	Раствор оромукозный/ларингофарингеальный	Orálny/laryngofaryngeálny roztok	Oralna/laringofaringealna raztopina	Tretësirë për mukozën e gojës/laringofaringeale	Rastvor za usnu sluznicu/laringofaringealni rastvor	Munhålelösning / laryngofaryngeal lösning	Ağız mukozası/laringofarenjeal çözelti	Розчин оромукозний/ларингофарингеальний	 - 	Rastvor za usnu sluznicu/ laringofaringealnu primjenu
Oromucosal/laryngopharyngeal solution/spray, solution	Разтвор/спрей, разтвор за устна лигавица/ларинкс-фаринкс	Orální/laryngofaryngeální roztok/sprej, roztok	 - 	Lösung/Spray zur Anwendung in der Mundhöhle/im Rachenraum oder am Kehlkopf, Lösung	Διάλυμα για στοματικό/λαρυγγοφαρυγγικό διάλυμα/εκνέφωμα	Solución y solución para pulverización bucal y laringofaríngea	Suuõõne-/kõri-neelulahus/sprei, lahus	Liuos/sumute suuonteloon/kurkunpäähän	Solution/ solution pour pulvérisation buccale/ laryngopharyngée	Tuaslagán/sprae béalmhúcósach/laraingeafaraingeach, tuaslagán	Otopina/sprej za usnu sluznicu/ždrijelo i grkljan, otopina	 - 	Lausn/úði fyrir munnhol/barkakýli og kok	Soluzione per mucosa orale/laringofaringea  o spray per mucosa orale/laringofaringeo, soluzione	Оромукозалдық/көмей-жұтқыншаққа арналған   ерітінді/бүріккіш, ерітінді	Burnos gleivinės, gerklų ir ryklės tirpalas ar purškalas (tirpalas)	Šķīdums/aerosols lietošanai mutes dobumā/ laringofaringeālai lietošanai, šķīdums	 - 	 - 	Oplossing/spray voor oromucosaal/laryngofaryngeaal gebruik, oplossing	Munnvann/laryngofaryngeal oppløsning/spray, oppløsning	Roztwór / aerozol do stosowania w jamie ustnej / dokrtaniowo, roztwór	Solução ou solução para pulverização bucal ou laringofaríngea	Spray bucofaringian / faringolaringian, soluție	Раствор/спрей оромукозный/ларингофарингеальный, раствор	Orálny/laryngofaryngeálny roztok/roztokový sprej	Oralna/laringofaringealna raztopina/pršilo, raztopina	 - 	Rastvor/sprej za laringofaringealnu/usnu sluznicu, rastvor	Munhåle-/laryngofaryngeal lösning/spray	Ağız mukozası/laringofarenjeal çözelti/sprey, çözelti	Розчин/спрей оромукозний/ларингофарингеальний, розчин	 - 	Rastvor / sprej za laringofaringealnu/usnu sluznicu, rastvor
Powder for concentrate for solution for infusion	Прах за концентрат за инфузионен разтвор	Prášek pro koncentrát pro infuzní roztok	Pulver til koncentrat til infusionsvæske, opløsning	Pulver für ein Konzentrat zur Herstellung einer Infusionslösung	Κόνις για πυκνό σκεύασμα για παρασκευή διαλύματος προς έγχυση	Polvo para concentrado para solución para perfusión	Infusioonilahuse kontsentraadi pulber	Kuiva-aine välikonsentraatiksi infuusionestettä varten, liuos	Poudre pour solution à diluer pour perfusion	Púdar le haghaidh tiúcháin le haghaidh tuaslagáin le haghaidh iondoirte	Prašak za koncentrat za otopinu za infuziju	Por oldatos infúzióhoz való koncentrátumhoz	Stofn fyrir innrennslisþykkni, lausn	Polvere per concentrato per soluzione per infusione	Инфузияға арналған ерітінді концентратын дайындау үшін қолданылатын ұнтақ	Milteliai infuzinio tirpalo koncentratui	Pulveris infūziju šķīduma koncentrāta pagatavošanai	 - 	Trab għall-konċentrat għal soluzzjoni għall-infużjoni	Poeder voor concentraat voor oplossing voor infusie	Pulver til konsentrat til infusjonsvæske, oppløsning	Proszek do sporządzania koncentratu roztworu do infuzji	Pó para concentrado para solução para perfusão	Pulbere pentru concentrat pentru soluţie perfuzabilă	Порошок для приготовления концентрата для приготовления раствора для инфузий	Prášok na koncentrát na infúzny roztok	Prašek za koncentrat za raztopino za infundiranje	Pluhur për përqendresa për tretësirë për perfuzion	Prašak za koncentrat za rastvor za infuziju	Pulver till koncentrat till infusionsvätska, lösning	İnfüzyon çözeltisi için konsantre tozu	Порошок для концентрату для розчину для інфузій	 - 	Prašak za koncentrat  za rastvor za infuziju
Powder for concentrate for dispersion for infusion	Прах за концентрат за инфузионна дисперсия	Prášek pro koncentrát pro infuzní disperzi	Pulver til koncentrat til infusionsvæske, dispersion	Pulver für ein Konzentrat zur Herstellung einer Infusionsdispersion	Κόνις για παρασκευή πυκνού σκευάσματος για διασπορά προς έγχυση	Polvo para concentrado para dispersión para perfusión	Infusioonidispersiooni kontsentraadi pulber	Kuiva-aine välikonsentraatiksi infuusionestettä varten, dispersio	Poudre pour dispersion à diluer pour dispersion pour perfusion	Púdar le haghaidh tiúcháin le haghaidh easraithe le haghaidh iondoirte	Prašak za koncentrat za disperziju za infuziju	 - 	Stofn fyrir innrennslisþykkni, ördreifa	Polvere per concentrato per dispersione per infusione	Инфузияға арналған дисперсия концентратын дайындау үшін қолданылатын ұнтақ	Milteliai infuzinės dispersijos koncentratui	Pulveris infūziju dispersijas koncentrāta pagatavošanai	 - 	 - 	Poeder voor concentraat voor dispersie voor infusie	Pulver til konsentrat til infusjonsvæske, dispersjon	Proszek do koncentratu do sporządzania dyspersji do infuzji	Pó para concentrado para dispersão para perfusão	Pulbere pentru concentrat pentru dispersie perfuzabilă	Порошок для приготовления концентрата для приготовления дисперсии для инфузии	Prášok na koncentrát na infúznu disperziu	Prašek za koncentrat za disperzijo za infundiranje	 - 	Prašak za koncentrat za disperziju za infuziju	Pulver till koncentrat till infusionsvätska, dispersion	İnfüzyon dispersiyonu için konsantre tozu	Порошок для концентрата для дисперсії для інфузій	 - 	Prašak za koncentrat za disperziju za infuziju
Powder for concentrate for intravesical suspension	Прах за концентрат за интравезикална суспензия	Prášek pro koncentrát pro intravezikální suspenzi	 - 	Pulver für ein Konzentrat zur Herstellung einer Suspension zur intravesikalen Anwendung	Κόνις για παρασκευή πυκνού σκευάσματος για ενδοκυστικό εναιώρημα	Polvo para concentrado para suspensión intravesical	Intravesikaalsuspensiooni kontsentraadi pulber	Jauhe välikonsentraatiksi suspensiota varten, virtsarakkoon	Poudre pour suspension à diluer pour suspension intravésicale	Púdar le haghaidh tiúcháin le haghaidh fuaidreán ionlamhnánach	Prašak za koncentrat za intravezikalnu suspenziju	 - 	Duft fyrir þykkni í þvagblöðrudreifu	Polvere per concentrato per sospensione endovescicale	Интравезикальдік  суспензия  концентратын дайындау үшін  ұнтақ	Milteliai šlapimo pūslės suspensijos koncentratui	Pulveris intravezikāli lietojamas suspensijas koncentrāta pagatavošanai	 - 	 - 	Poeder voor concentraat voor suspensie voor intravesicaal gebruik	Pulver til konsentrat til intravesikalsuspensjon	Proszek do sporządzania koncentratu zawiesiny do pęcherza moczowego	Pó para concentrado para suspensão intravesical	Pulbere pentru concentrat pentru suspensie intravezicală	Порошок для приготовления концентрата для приготовления суспензии интравезикальной	Prášok na koncentrát na intravezikálnu suspenziu	Prašek za koncentrat za intravezikalno suspenzijo	 - 	Prašak za koncentrat za intravezikalnu suspenziju	Pulver till koncentrat till intravesikal suspension	Konsantre mesane içi süspansiyon tozu	Порошок для концентрата для суспензії для інтравезикального застосування	 - 	Prašak za koncentrat za intravezikalnu suspenziju
Powder for concentrate for solution for haemodialysis	Прах за концентрат за разтвор за хемодиализа	Prášek pro koncentrát pro roztok k hemodialýze	Pulver til koncentrat til hæmodialysevæske	Pulver für ein Konzentrat zur Herstellung einer Hämodialyselösung	Κόνις για παρασκευή πυκνού σκευάσματος για διάλυμα αιμοδιαπίδυσης	Polvo para concentrado para solución para hemodiálisis	Hemodialüüsilahuse kontsentraadi pulber	Jauhe hemodialyysikonsentraattia varten, liuos	Poudre pour solution à diluer pour solution pour hémodialyse	Púdar le haghaidh tiúcháin le haghaidh tuaslagáin le haghaidh haema-scagdhealaithe	Prašak za koncentrat za otopinu za hemodijalizu	 - 	Duft fyrir blóðskilunarþykkni, lausn	Polvere per concentrato per soluzione per emodialisi	Гемодиализге  арналған  ерітінді концентратын дайындау үшін  ұнтақ	Milteliai hemodializės tirpalo koncentratui	Pulveris hemodialīzes šķīduma koncentrāta pagatavošanai	 - 	 - 	Poeder voor concentraat voor oplossing voor hemodialyse	Pulver til hemodialysekonsentrat	Proszek do sporządzania koncentratu roztworu do hemodializy	Pó para concentrado para solução para hemodiálise	Pulbere pentru concentrat pentru soluţie pentru hemodializă	Порошок для приготовления концентрата для приготовления раствора для гемодиализа	Prášok na koncentrát na hemodialyzačný roztok	Prašek za koncentrat za raztopino za hemodializo	 - 	Prašak za koncentrat za rastvor za hemodijalizu	Pulver till koncentrat till hemodialysvätska	Hemodiyaliz çözeltisi için konsantre tozu	Порошок для концентрата для розчину для гемодіалізу	 - 	Prašak za koncentrat za rastvor za hemodijalizu
Powder for concentrate for solution for injection/infusion	Прах за концентрат за инжекционен/инфузионен разтвор	Prášek pro koncentrát pro injekční/infuzní roztok	Pulver til koncentrat til injektions-/infusionsvæske, opløsning	Pulver für ein Konzentrat zur Herstellung einer Injektions-/Infusionslösung	Κόνις για παρασκευή πυκνού σκευάσματος για ενέσιμο διάλυμα/διάλυμα προς έγχυση	Polvo para concentrado para solución inyectable y para perfusión	Süste-/infusioonilahuse kontsentraadi pulber	Kuiva-aine välikonsentraatiksi injektio-/infuusionestettä varten, liuos	Poudre pour solution à diluer pour solution injectable/pour perfusion	Púdar le haghaidh tiúcháin le haghaidh tuaslagáin le haghaidh insteallta/iondoirte	Prašak za koncentrat za otopinu za injekciju / infuziju	 - 	Stofn fyrir stungulyfs-/innrennslisþykkni, lausn	Polvere per concentrato per soluzione iniettabile/per infusione	Инъекцияға/инфузияға арналған  ерітінді  концентратын дайындау үшін  ұнтақ	Milteliai injekcinio ar infuzinio tirpalo koncentratui	Pulveris injekciju/infūziju šķīduma koncentrāta pagatavošanai	 - 	 - 	Poeder voor concentraat voor oplossing voor injectie / infusie	Pulver til konsentrat til injeksjons-/infusjonsvæske, oppløsning	Proszek do sporządzania koncentratu roztworu do wstrzykiwań / do infuzji	Pó para concentrado para solução injetável ou para perfusão	Pulbere pentru concentrat pentru soluţie injectabilă/perfuzabilă	Порошок для приготовления концентрата для приготовления раствора для инъекций/инфузий	Prášok na koncentrát na injekčný/infúzny roztok	Prašek za koncentrat za raztopino za injiciranje/infundiranje	 - 	Prašak za koncentrat za rastvor za injekciju/infuziju	Pulver till koncentrat till injektions-/infusionsvätska, lösning	Enjeksiyon/infüzyon çözeltisi için konsantre tozu	Порошок для концентрата для розчину для ін'єкцій/інфузій	 - 	Prašak za koncentrat za rastvor za injekciju/infuziju
Powder for dental solution	Прах за дентален разтвор	Prášek pro dentální roztok	Pulver til dental opløsning	Pulver zur Herstellung einer Dentallösung	Κόνις για οδοντικό διάλυμα	Polvo para solución dental	Hambalahuse pulber	Jauhe dentaaliliuosta varten	Poudre pour solution dentaire	Púdar le haghaidh tuaslagán fiacla	Prašak za dentalnu otopinu	 - 	Duft fyrir tannlausn	Polvere per soluzione dentale	Тіске  арналған  ерітінді  дайындау үшін  ұнтақ	Milteliai dantų tirpalui	Pulveris dentālā šķīduma pagatavošanai	 - 	 - 	Poeder voor oplossing voor dentaal gebruik	Pulver til dentalvæske, oppløsning	Proszek do sporządzania roztworu dentystycznego	Pó para solução dental	Pulbere pentru soluţie dentară	Порошок для приготовления раствора дентального	Prášok na dentálny roztok	Prašek za dentalno raztopino	 - 	Prašak za dentalni rastvor	Pulver till dentallösning	Diş çözeltisi için toz	Порошок для дентального розчину	 - 	Prašak za rastvor za zube
Powder for epilesional solution	Прах за епилезиен разтвор	Prášek pro epilezionální roztok	 - 	Pulver zur Herstellung einer Lösung zum Auftragen auf die Wunde	Κόνις για διάλυμα εφαρμογής επί προσβεβλημένης περιοχής	Polvo para solución epilesional	Epilesionaallahuse pulber	Jauhe liuosta varten, kudosvaurion päälle	Poudre pour solution épilésionnelle	Púdar le haghaidh tuaslagán eipealoiteach	Prašak za epilezijsku otopinu	 - 	Duft fyrir lausn á vefjaskemmd	Polvere per soluzione epilesionale	Зақымданған жерге қолдануға арналған ерітінді дайындау үшін  ұнтақ	Milteliai pažeistos vietos tirpalui	Pulveris uz brūcēm lietojama šķīduma pagatavošanai	 - 	 - 	Poeder voor oplossing voor epilesionaal gebruik	Pulver til oppløsning til skadet område	Proszek do sporządzania roztworu na zmianę chorobową	Pó para solução epilesional	Pulbere pentru soluţie lezională	Порошок для приготовления раствора эпилезионального	Prášok na epiléziový roztok	Prašek za epilezijsko raztopino	 - 	Prašak za epilezijalni rastvor	Pulver till epilesionalvätska, lösning	Yara çözeltisi tozu	Порошок для розчину для застосування на місце ушкодження	 - 	Prašak za epilezijalni rastvor
Powder for implantation suspension	Прах за суспензия за имплантиране	Prášek pro implantační suspenzi	Pulver til suspension til implantation	Pulver zur Herstellung einer Suspension zur Implantation	Κόνις για εναιώρημα προς εμφύτευση	Polvo para suspensión para implantación	Implantatsioonisuspensiooni pulber	Jauhe implantaattisuspensiota varten	Poudre pour suspension pour implantation	Púdar le haghaidh fuaidreán ionphlandaithe	Prašak za implantacijsku suspenziju	 - 	Duft fyrir vefjalyf, dreifa	Polvere per sospensione per impianto	Имплантаттық суспензияға арналған ұнтақ	Milteliai implantuojamajai suspensijai	Pulveris implantējamās suspensijas pagatavošanai	 - 	 - 	Poeder voor suspensie voor implantatie	Pulver til suspensjon til implantasjon	Proszek do sporządzania zawiesiny do implantacji	Pó para suspensão para implantação	Pulbere pentru suspensie implantabilă	Порошок для приготовления суспензии для имплантации	Prášok na implantačnú suspenziu	Prašek za suspenzijo za implantacijo	Pluhur për implantim pezullie	Prašak za suspenziju za implantaciju	Pulver till suspension för implantation	İmplantasyon (Ekitleme) süspansiyonu tozu	Порошок для суспензії для імплантації	 - 	Prašak za suspenziju implantata
Powder for intravesical solution	Прах за интравезикален разтвор	Prášek pro intravezikální roztok	Pulver til intravesikal opløsning	Pulver zur Herstellung einer Lösung zur intravesikalen Anwendung	Κόνις για ενδοκυστικό διάλυμα	Polvo para solución intravesical	Intravesikaallahuse pulber	Jauhe liuosta varten, virtsarakkoon	Poudre pour solution intravésicale	Púdar le haghaidh tuaslagán ionlamhnánach	Prašak za intravezikalnu otopinu	Por intravezikális oldathoz	Duft fyrir þvagblöðrulausn	Polvere per soluzione endovescicale	Интравезикальдік ерітіндіге арналған ұнтақ	Milteliai šlapimo pūslės tirpalui	Pulveris intravezikāli lietojama šķīduma pagatavošanai	 - 	Trab għal soluzzjoni għal ġo bużżieqa żgħira	Poeder voor oplossing voor intravesicaal gebruik	Pulver til intravesikaloppløsning	Proszek do sporządzania roztworu do pęcherza moczowego	Pó para solução intravesical	Pulbere pentru soluţie intravezicală	Порошок для приготовления раствора интравезикального	Prášok na intravezikálny roztok	Prašek za intravezikalno raztopino	Pluhur për tretësirë intravezikale	Prašak za intravezikalni rastvor	Pulver till intravesikal lösning	Mesane içi çözelti tozu	Порошок для розчину для інтравезикального застосування	 - 	Prašak za intravezikalni rastvor
Powder for intravesical solution/solution for injection	Прах за интравезикален/инжекционен разтвор	Prášek pro intravezikální roztok/injekční roztok	 - 	Pulver zur Herstellung einer Lösung zur intravesikalen Anwendung / Injektionslösung	Κόνις για ενδοκυστικό διάλυμα/ενέσιμο διάλυμα	Polvo para solución intravesical y para solución inyectable	Intravesikaal-/süstelahuse pulber	Jauhe liuosta varten, virtsarakkoon/injektioneste, liuos	Poudre pour solution intravésicale/injectable	Púdar le haghaidh tuaslagán ionlamhnánach/tuaslagáin le haghaidh insteallta	Prašak za intravezikalnu otopinu/otopinu za injekciju	 - 	Duft fyrir þvagblöðrulausn/stungulyfsstofn, lausn	Polvere per soluzione endovescicale/soluzione iniettabile	Интравезикальдік ерітінді/инъекцияға арналған  ерітінді дайындау үшін  ұнтақ	Milteliai šlapimo pūslės tirpalui ar injekciniam tirpalui	Pulveris intravezikāli lietojama šķīduma/ injekciju šķīduma pagatavošanai	 - 	 - 	Poeder voor oplossing voor intravesicaal gebruik/oplossing voor injectie	Pulver til intravesikaloppløsning/injeksjonsvæske, oppløsning	Proszek do sporządzania roztworu do pęcherza moczowego / roztworu do wstrzykiwań	Pó para solução intravesical ou para solução injetável	Pulbere pentru soluţie intravezicală/soluţie injectabilă	Порошок для приготовления раствора интравезикального/раствора для инъекций	Prášok na intravezikálny/injekčný roztok	Prašek za intravezikalno raztopino/raztopino za injiciranje	 - 	Prašak za intravezikalni rastvor/rastvor za injekciju	Pulver till intravesikal lösning/injektionsvätska, lösning	Mesane içi çözeltisi/enjeksiyonluk çözelti tozu	Порошок для інтравезикального застосування/розчин для ін'єкцій	 - 	Prašak za intravezikalni rastvor/rastvor za injekciju
Powder for intravesical suspension	Прах за интравезикална суспензия	Prášek pro intravezikální suspenzi	Pulver til intravesikal suspension	Pulver zur Herstellung einer Suspension zur intravesikalen Anwendung	Κόνις για ενδοκυστικό εναιώρημα	Polvo para suspensión intravesical	Intravesikaalsuspensiooni pulber	Jauhe suspensiota varten, virtsarakkoon	Poudre pour suspension intravésicale	Púdar le haghaidh fuaidreán ionlamhnánach	Prašak za intravezikalnu suspenziju	Por intravezikális szuszpenzióhoz	Duft fyrir þvagblöðrudreifu	Polvere per sospensione endovescicale	Интравезикальдік суспензияға арналған ұнтақ	Milteliai šlapimo pūslės suspensijai	Pulveris intravezikāli lietojamas suspensijas pagatavošanai	 - 	Trab għal suspensjoni għal ġo bużżieqa żgħira	Poeder voor suspensie voor intravesicaal gebruik	Pulver til intravesikalsuspensjon	Proszek do sporządzania zawiesiny do pęcherza moczowego	Pó para suspensão intravesical	Pulbere pentru suspensie intravezicală	Порошок для приготовления суспензии интравезикальной	Prášok na intravezikálnu suspenziu	Prašek za intravezikalno suspenzijo	Pluhur për pezulli intravezikale	Prašak za intravezikalnu suspenziju	Pulver till intravesikal suspension	Mesane içi süspansiyon tozu	Порошок для суспензії для внутрішньоміхурового застосування	 - 	Prašak za intravezikalnu suspenziju
Powder for oral/rectal suspension	Прах за перорална/ректална суспензия	Prášek pro perorální/rektální suspenzi	Pulver til oral suspension/rektalvæske, suspension	Pulver zur Herstellung einer Suspension zum Einnehmen/Rektalsuspension	Κόνις για εναιώρημα από του στόματος / από του ορθού	Polvo para suspensión oral y rectal	Suukaudse/rektaalsuspensiooni pulber	Jauhe oraali-/peräruiskesuspensiota varten	Poudre pour suspension oral/rectal	Púdar le haghaidh fuaidreán béil/reicteach	Prašak za oralnu/rektalnu suspenziju	Por belsőleges szuszpenzióhoz/végbélszuszpenzióhoz	Mixtúruduft/endaþarmsduft, dreifa	Polvere per sospensione orale/rettale	Оральдік/тік ішекке арналған суспензия дайындау үшін қолданылатын ұнтақ	Milteliai geriamajai ar tiesiosios žarnos suspensijai	Pulveris iekšķīgi/ rektāli lietojamas suspensijas pagatavošanai	 - 	Trab għal suspensjoni orali/għar-rectum	Poeder voor suspensie voor oraal / rectaal gebruik	Pulver til mikstur/rektalvæske, suspensjon	Proszek do sporządzania zawiesiny doustnej / doodbytniczej	Pó para suspensão oral ou retal	Pulbere pentru suspensie orală/rectală	Порошок для приготовления суспензии для приема внутрь/ректальной	Prášok na perorálnu/rektálnu suspenziu	Prašek za peroralno/rektalno suspenzijo	Pluhur për pezulli që merret nga goja/rektumi	Prašak za oralnu/rektalnu suspenziju	Pulver till oral / rektalsuspension	Oral/rektal süspansiyon tozu	Порошок для оральної/ректальної суспензії	 - 	Prašak za oralnu/rektalnu suspenziju
Powder for solution for injection/infusion	Прах за инжекционен/инфузионен разтвор	Prášek pro injekční/infuzní roztok	Pulver til injektions-/infusionsvæske, opløsning	Pulver zur Herstellung einer Injektions-/Infusionslösung	Κόνις για ενέσιμο διάλυμα/ διάλυμα προς έγχυση	Polvo para solución inyectable y para perfusión	Süste-/infusioonilahuse pulber	Injektio-/infuusiokuiva-aine liuosta varten	Poudre pour solution injectable/pour perfusion	Púdar le haghaidh tuaslagáin le haghaidh insteallta/iondoirte	Prašak za otopinu za injekciju / infuziju	 - 	Stungulyfs-/innrennslisstofn, lausn	Polvere per soluzione iniettabile/per infusione	Инъекциялық/инфузиялық  ерітінді дайындауға арналған ұнтақ	Milteliai injekciniam ar infuziniam tirpalui	Pulveris injekciju/ infūziju šķīduma pagatavošanai	 - 	 - 	Poeder voor oplossing voor injectie/infusie	Pulver til injeksjons-/infusjonsvæske, oppløsning	Proszek do sporządzania roztworu do wstrzykiwań / do infuzji	Pó para solução injetável ou para perfusão	Pulbere pentru soluţie injectabilă/perfuzabilă	Порошок для приготовления раствора для инъекций/инфузий	Prášok na injekčný/infúzny roztok	Prašek za raztopino za injiciranje/infundiranje	 - 	Prašak za rastvor za injekciju/infuziju	Pulver till injektions-/infusionsvätska, lösning	Enjeksiyon/infüzyon çözeltisi tozu	Порошок для розчину для ін'єкцій/інфузій	 - 	Prašak za rastvor za injekciju/infuziju
Radiopharmaceutical precursor, solution	Радиофармацевтичен прекурсор, разтвор	Prekursor radiofarmaka, roztok	 - 	Markerzubereitung, Lösung	Πρόδρομος ουσία ραδιοφαρμάκου, διάλυμα	Precursor radiofarmacéutico en solución	Radiofarmatseutilise prekursori lahus	Esivalmiste radioaktiivista lääkettä varten, liuos	Solution de précurseur radiopharmaceutique	Réamhtheachtaí radachógais, tuaslagán	Radiofarmaceutski prekursor, otopina	Radioaktív jelzőizotóp oldat	Forefni fyrir geislavirkt lyf, lausn	Precursore di radionuclidi, soluzione	Радиофармацевтикалық прекурсор, ерітінді	Radiofarmacinis pirmtakas (tirpalas)	Radiofarmaceitiskais prekursors, šķīdums	 - 	 - 	Radiofarmaceutische uitgangsstof, oplossing	Stamoppløsning til radioaktive legemidler, oppløsning	Prekursor radiofarmaceutyku, roztwór	Solução para precursor radiofarmacêutico	Soluţie pentru precursor radionuclid	Прекурсор радиофармацевтический, раствор	Rádiofarmaceutický roztokový prekurzor	Radionuklidni predhodnik, raztopina	Pararendës radiofarmaceutik, tretësirë	Radiofarmaceutski prekursor, rastvor	Stamlösning till radioaktiva läkemedel, lösning	Radyofarmasötik prekürsör (öncül), çözelti	Прекурсор радіофармацевтичний, розчин	 - 	Radiofarmaceutski prekursor, rastvor
Solution for haemodialysis/haemofiltration	Разтвор за хемодиализа/хемофилтрация	Roztok pro hemodialýzu/hemofiltraci	Hæmodialyse-/hæmofiltreringsvæske	Hämodialyselösung/Hämofiltrationslösung	Διάλυμα για αιμοδιαπίδυση/αιμοδιήθηση	Solución para hemodiálisis y hemofiltración	Hemodialüüsi-/hemofiltratsioonilahus	Hemodialyysi-/hemofiltraationeste	Solution pour hémodialyse/hémofiltration	Tuaslagán le haghaidh haema-scagdhealaithe/haema-scagacháin	Otopina za hemodijalizu / hemofiltraciju	Hemodializáló/hemofiltrációs oldat	Blóðskilunar-/blóðsíunarlausn	Soluzione per emodialisi/emofiltrazione	Гемодиализге/гемофильтрацияға арналған ерітінді	Hemodializės ar hemofiltracijos tirpalas	Šķīdums hemodialīzei/ hemofiltrācijai	 - 	Soluzzjoni għad-dijalisi tad-demm/filtrazzjoni tad-demm	Oplossing voor hemodialyse / hemofiltratie	Hemodialyse-/hemofiltreringsvæske	Roztwór do hemodializy / do hemofiltracji	Solução para hemodiálise ou hemofiltração	Soluţie pentru hemodializă/hemofiltrare	Раствор для гемодиализа/гемофильтрации	Roztok na hemodialýzu/hemofiltráciu	Raztopina za hemodializo/hemofiltracijo	Tretësirë për hemodializë/hemofiltrim	Rastvor za hemodijalizu/hemofiltraciju	Hemodialysvätska/hemofiltrationsvätska	Hemodiyaliz/hemofiltrasyon çözeltisi	Розчин для гемодіалізу/гемофільтрації	 - 	Rastvor za hemodijalizu/hemofiltraciju
Solution for injection/infusion	Инжекционен/инфузионен разтвор	Injekční/infuzní roztok	Injektions-/infusionsvæske, opløsning	Injektions-/Infusionslösung	Διάλυμα για ένεση/έγχυση	Solución inyectable y para perfusión	Süste-/infusioonilahus	Injektio-/infuusioneste, liuos	Solution injectable/pour perfusion	Tuaslagán le haghaidh insteallta/iondoirte	Otopina za injekciju / infuziju	Oldatos injekció/infúzió	Stungulyf/innrennslislyf, lausn	Soluzione iniettabile o per infusione	Инъекцияға/инфузияға арналған ерітінді	Injekcinis ar infuzinis tirpalas	Šķīdums injekcijām/ infūzijām	 - 	Soluzzjoni għall-injezzjoni/infużjoni	Oplossing voor injectie / infusie	Injeksjons-/infusjonsvæske, oppløsning	Roztwór do wstrzykiwań / do infuzji	Solução injetável ou para perfusão	Soluţie injectabilă/perfuzabilă	Раствор для инъекций/инфузий	Injekčný/infúzny roztok	Raztopina za injiciranje/infundiranje	Tretësirë për injeksion/perfuzion	Rastvor za injekciju/infuziju	Injektions-/infusionsvätska, lösning	Enjeksiyon/infüzyon çözeltisi	Розчин для ін'єкцій/інфузій	 - 	Rastvor za injekciju/infuziju
Solution for sealant	Разтвор за тъканно лепило	Roztok pro tkáňové lepidlo	Opløsning til vævsklæber	Lösung für Gewebekleber	Διαλύματα για συγκόλληση ιστών	Solución para adhesivo tisular	Koeliimilahus	Liuos kudosliimaa varten	Solution pour colle	Tuaslagán le haghaidh séaltáin	Otopina za tkivno ljepilo	 - 	Lausn fyrir vefjalím	Soluzione per adesivo tissutale	Пломбалық материалға арналған ерітінді	Tirpalas audinių klijams	Šķīdums sīlanta pagatavošanai	 - 	 - 	Oplossing voor weefsellijm	Oppløsning til vevslim	Roztwór do sporządzania kleju do tkanek	Soluções para cola para tecidos	Soluţie pentru adeziv tisular	Раствор для приготовления клея для тканей	Roztok na tkanivové lepidlo	Raztopina za lepilo za tkiva	Tretësirë për ngjitje	Rastvor za lepak za tkivo	Lösning till vävnadslim	Yapıştırıcı çözeltisi	Розчин для клею для тканин	 - 	Rastvor za tkivno ljepilo
